                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4666,                0.29869,                0.88302,                0.93768,                0.94758,                0.97225,                0.72239,                0.98373,                0.45525,                  1.179,              0.0004085,              0.0004085,              0.0004085
                     37,                0.46567,                0.30039,                0.88848,                0.96024,                0.96027,                0.97173,                0.73769,                 0.9473,                0.43035,                 1.1724,             0.00038375,             0.00038375,             0.00038375
                     38,                0.46015,                0.29933,                0.88764,                0.94902,                0.95402,                0.97078,                0.74171,                0.92754,                0.42245,                 1.1349,               0.000359,               0.000359,               0.000359
                     39,                0.44381,                0.29325,                 0.8818,                0.96466,                0.95731,                0.97458,                0.73609,                0.96952,                0.44252,                  1.138,             0.00033425,             0.00033425,             0.00033425
                     40,                0.45139,                0.29296,                0.87703,                0.95779,                0.96802,                0.97282,                0.73107,                0.95513,                0.42791,                 1.1587,              0.0003095,              0.0003095,              0.0003095
                     41,                0.43246,                0.27993,                0.87012,                0.96104,                0.95402,                0.97521,                0.74929,                0.93476,                0.42145,                 1.1201,             0.00028475,             0.00028475,             0.00028475
                     42,                0.42483,                 0.2796,                  0.874,                0.94862,                0.95106,                0.96942,                0.74487,                0.92786,                0.40808,                 1.1429,                0.00026,                0.00026,                0.00026
                     43,                0.42304,                0.27514,                0.87012,                0.96287,                 0.9529,                0.96893,                0.73617,                0.94814,                 0.4133,                 1.1595,             0.00023525,             0.00023525,             0.00023525
                     44,                 0.4146,                0.26116,                0.86189,                0.94518,                0.96683,                0.96653,                0.73582,                0.96673,                0.41416,                 1.1738,              0.0002105,              0.0002105,              0.0002105
                     45,                0.41534,                 0.2678,                0.86566,                0.95398,                0.95661,                0.95938,                0.73289,                0.96699,                0.41434,                 1.2053,             0.00018575,             0.00018575,             0.00018575
                     46,                0.40519,                0.26148,                0.85626,                0.95881,                0.95402,                0.96907,                0.74192,                0.96659,                0.42122,                 1.1704,               0.000161,               0.000161,               0.000161
                     47,                0.40421,                 0.2547,                0.86324,                0.96061,                0.95883,                0.96622,                 0.7507,                0.94873,                0.41278,                 1.1718,             0.00013625,             0.00013625,             0.00013625
                     48,                   0.39,                 0.2525,                0.85695,                0.95318,                0.96384,                0.96565,                0.73566,                0.97001,                0.42125,                 1.1727,              0.0001115,              0.0001115,              0.0001115
                     49,                0.39334,                0.24719,                0.86133,                0.95669,                 0.9616,                0.97306,                0.75138,                0.95745,                0.41102,                 1.1659,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.38364,                0.24796,                0.85591,                0.94896,                0.96722,                0.96891,                0.74611,                0.95897,                0.41454,                 1.1783,                6.2e-05,                6.2e-05,                6.2e-05
